http://	<urlopen error no host given>
http://www.nswtaxi.org.au/news/law-must-be-upheld	HTTP Error 404: Not Found
http://www.nbnco.com.au/assets/documents/fixed-wireless-factsheet.pdf	HTTP Error 404: Not Found
http://www.liberal.org.au/latest-news/2013/05/16/tony-abbott-budget-reply-parliament-house-canberra	HTTP Error 403: Forbidden
http://www.stats.gov.cn/english/newsandcomingevents/t20130222_402874607.htm	HTTP Error 404: Not Found
http://www.tga.gov.au/consumers/ecigarettes.htm#.U9s6yvmSx8E	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://www.ato.gov.au/General/New-legislation/In-detail/Direct-taxes/Income-tax-for-individuals/Temporary-Budget-Repair-levy/	HTTP Error 403: Forbidden
https://www.theaustralian.com.au/opinion/columnists/henry-ergas/migrant-crisis-refugees-must-be-prioritised-on-their-beliefs/news-story/15d7811304312b00686810103dc3f9f3	HTTP Error 403: Forbidden
https://infrastructure.gov.au/infrastructure/pab/soac/files/2015_SoAC_full_report.pdf	<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:833)>
https://www.lifeline.org.au/About-Lifeline/Media-Centre/Media-Releases/calls-for-national-emergency-on-suicide	HTTP Error 403: Forbidden
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Is%20SA\'s%20share%20of%20federal%20infrastructure%20funding%20set%20to%20drop%20to%202%20per%20cent%20in%20coming%20years%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2018-03-14%2Ffact-check-south-australia-infrastructure-funding%2F9537064&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://twitter.com/intent/tweet?text=Was%20Labor\'s%20childcare%20fund%20only%20ever%20about%20the%20union%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2013-12-20%2Fsusaan-ley-in-the-ballpark-on-child-care-fund%2F5161572&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://standingupforsouthaustralia.com.au/media/1131/2018_policy_document_final_lowres.pdf	hostname 'standingupforsouthaustralia.com.au' doesn't match either of '*.azurewebsites.net', '*.scm.azurewebsites.net', '*.azure-mobile.net', '*.scm.azure-mobile.net', '*.sso.azurewebsites.net'
https://www.abc.net.au//d3bo5ucoqkgs8h.cloudfront.net/PrF63/1?abcnewsembedheight=370	HTTP Error 404: Not Found
https://www.abc.net.au//datawrapper.dwcdn.net/mVfgj/1?abcnewsembedheight=370	HTTP Error 404: Not Found
https://twitter.com/intent/tweet?text=Fact%20check%3A%20Does%20Scott%20Morrison\'s%20first%20cabinet%20have%20additional%20female%20representation%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2018-09-13%2Ffact-check-women-in-cabinet-scott-morrison%2F10230820&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
https://twitter.com/intent/tweet?text=Fact%20Check%3A%20Is%20Labor\'s%20schools%20policy%20fully%20funded%3F%20http%3A%2F%2Fwww.abc.net.au%2Fnews%2F2016-03-01%2Ffact-check-is-labors-education-policy-fully-funded%2F7171252&via=abcfactcheck&related=abcnews	HTTP Error 400: Bad Request
